epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,80.6549,1.4726,1.63658,1.11878,0,0,0,0,6.95459,10.4906,4.40917,0.00184781,0.00184781,0.00184781
50,82.1467,1.42292,1.5734,1.12643,0,0,0,0,6.92421,9.43371,4.24396,0.00188395,0.00188395,0.00188395
51,83.5861,1.40127,1.42296,1.11679,0,0,0,0,6.88728,8.54527,4.08584,0.001901,0.001901,0.001901
52,85.0383,1.58182,1.48566,1.07861,0,0,0,0,6.76583,7.11336,3.7398,0.00189902,0.00189902,0.00189902
53,86.5,1.43461,1.57395,1.1856,0,0,0,0,6.54093,6.18851,3.39192,0.00189704,0.00189704,0.00189704
54,87.9331,1.47913,1.47018,1.10628,0,0,0,0,6.51526,6.11026,3.35874,0.00189506,0.00189506,0.00189506
55,89.3794,1.32277,1.43038,1.11952,0,0,0,0,6.73456,5.78733,3.65315,0.00189308,0.00189308,0.00189308
56,90.8391,1.36322,1.40832,1.13282,0,0,0,0,6.77413,5.81196,3.72835,0.0018911,0.0018911,0.0018911
57,92.2658,1.32809,1.28661,1.06323,0,0,0,0,6.71177,5.64495,3.59468,0.00188912,0.00188912,0.00188912
58,93.7076,1.41692,1.35985,1.10398,0,0,0,0,6.58071,5.35696,3.40677,0.00188714,0.00188714,0.00188714
59,95.182,1.41119,1.31827,1.05684,0,0,0,0,6.1459,5.10933,3.03113,0.00188516,0.00188516,0.00188516
60,96.6467,1.37167,1.28168,1.09953,0,0,0,0,5.89423,5.06911,2.88685,0.00188318,0.00188318,0.00188318
61,98.1191,1.30494,1.25218,1.06152,0,0,0,0,5.90608,5.07318,2.89221,0.0018812,0.0018812,0.0018812
62,99.5914,1.23406,1.18525,1.02871,0,0,0,0,6.09082,4.99592,3.0121,0.00187922,0.00187922,0.00187922
63,101.077,1.28254,1.22713,1.05153,0,0,0,0,6.37875,5.16726,3.21947,0.00187724,0.00187724,0.00187724
64,102.594,1.24761,1.22087,1.07873,0,0,0,0,6.57046,5.35975,3.39659,0.00187526,0.00187526,0.00187526
65,104.09,1.31161,1.25469,1.08972,0,0,0,0,6.55969,5.40833,3.38409,0.00187328,0.00187328,0.00187328
66,105.526,1.39248,1.1902,1.08151,0,0,0,0,6.39063,5.29318,3.23834,0.0018713,0.0018713,0.0018713
67,107.029,1.2393,1.17905,1.04402,0,0,0,0,6.14435,5.15193,3.05307,0.00186932,0.00186932,0.00186932
68,108.524,1.30218,1.08695,1.03071,0,0,0,0,6.07053,5.17895,3.00647,0.00186734,0.00186734,0.00186734
69,110.027,1.21583,1.16284,1.01597,0,0,0,0,6.0683,5.19931,2.99525,0.00186536,0.00186536,0.00186536
70,111.651,1.15919,1.10173,0.99626,0,0,0,0,5.94783,5.22126,2.93437,0.00186338,0.00186338,0.00186338
71,113.278,1.21118,1.04126,1.02073,0,0,0,0,5.20801,5.03627,2.57073,0.0018614,0.0018614,0.0018614
72,114.779,1.24316,1.08174,0.99287,0,0,0,0,4.1923,4.67861,2.20991,0.00185942,0.00185942,0.00185942
73,116.258,1.14822,1.01979,0.97789,0.00141,0.17391,0.04589,0.00915,3.67239,4.4258,2.01691,0.00185744,0.00185744,0.00185744
74,117.753,1.11856,0.9361,0.9635,0.0027,0.26087,0.00662,0.00136,3.40589,4.24174,1.93335,0.00185546,0.00185546,0.00185546
75,119.224,1.24071,1.02343,1.01137,0.00504,0.3913,0.08951,0.02113,2.94819,4.13264,1.81281,0.00185348,0.00185348,0.00185348
76,120.668,1.12538,0.96669,1.01664,0.00692,0.52174,0.05289,0.01161,2.80676,4.06987,1.77532,0.0018515,0.0018515,0.0018515
77,122.126,1.08155,0.92486,0.98106,0.00812,0.6087,0.06535,0.02172,2.73308,3.88559,1.70769,0.00184952,0.00184952,0.00184952
